pais,anio,remesas_usd,remesas_millones_usd,fuente,indicador,fecha_descarga
Ecuador,2019,3242684316.95307,3242.6843169530703,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Ecuador,2020,3343696163.52993,3343.69616352993,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Ecuador,2021,4367441780.58814,4367.441780588139,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Ecuador,2022,4747980446.38852,4747.98044638852,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Ecuador,2023,5452432476.65757,5452.43247665757,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Ecuador,2024,6544355900.6287,6544.3559006287005,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Ecuador,2025,7734058771.58878,7734.0587715887805,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Colombia,2000,1610122976.25762,1610.1229762576202,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Colombia,2001,2056358872.86705,2056.3588728670497,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Colombia,2002,2479942596.14027,2479.9425961402703,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Colombia,2003,3076018646.59598,3076.01864659598,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Colombia,2004,3189709843.91794,3189.7098439179404,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Colombia,2005,3345610321.40796,3345.61032140796,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Colombia,2006,3899159914.34257,3899.1599143425697,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Colombia,2007,4460194476.6454,4460.1944766454,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Colombia,2008,4826851232.37512,4826.85123237512,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Colombia,2009,4124862554.30563,4124.8625543056305,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Colombia,2010,4030846325.68114,4030.84632568114,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Colombia,2011,4101315891.0611,4101.3158910611,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Colombia,2012,4018674668.2006,4018.6746682006,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Colombia,2013,4449831680.49204,4449.83168049204,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Colombia,2014,4165731073.41832,4165.73107341832,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Colombia,2015,5001596492.34082,5001.59649234082,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Colombia,2016,5191956875.2388,5191.9568752388,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Colombia,2017,5818773635.08076,5818.77363508076,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Colombia,2018,6675079294.04126,6675.079294041259,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Colombia,2019,7116297148.74071,7116.29714874071,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Colombia,2020,6924526135.55919,6924.52613555919,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Colombia,2021,8608268970.88542,8608.26897088542,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Colombia,2022,9454507516.93043,9454.50751693043,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Colombia,2023,10111593424.102,10111.593424101999,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Colombia,2024,11873232976.2659,11873.2329762659,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Colombia,2025,13129361534.8527,13129.3615348527,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Peru,2000,717663840,717.66384,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Peru,2001,753211439.471146,753.211439471146,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Peru,2002,705382493.064728,705.382493064728,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Peru,2003,868500000.000001,868.5000000000009,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Peru,2004,1132713589.75648,1132.71358975648,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Peru,2005,1440067536.07357,1440.06753607357,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Peru,2006,1837494274.23837,1837.49427423837,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Peru,2007,2130814663.09078,2130.81466309078,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Peru,2008,2443644584.72294,2443.64458472294,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Peru,2009,2408698137.26314,2408.6981372631403,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Peru,2010,2533910907.29577,2533.9109072957704,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Peru,2011,2696961722.55352,2696.9617225535203,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Peru,2012,2839028049.63808,2839.02804963808,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Peru,2013,2748412444.60238,2748.4124446023798,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Peru,2014,2689539157.19105,2689.53915719105,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Peru,2015,2765008768.12896,2765.00876812896,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Peru,2016,2943093588.891,2943.093588891,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Peru,2017,3112765345.57326,3112.7653455732598,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Peru,2018,3234308884.10748,3234.30888410748,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Peru,2019,3344555059.21445,3344.55505921445,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Peru,2020,2906814456.23214,2906.81445623214,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Peru,2021,3607925053.86272,3607.9250538627202,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Peru,2022,3710805234.48257,3710.80523448257,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Peru,2023,4446814854.9166,4446.8148549166,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Peru,2024,4933771110.13101,4933.77111013101,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
Peru,2025,5299341957.04973,5299.34195704973,Banco Mundial (paquete WDI),BX.TRF.PWKR.CD.DT,2026-08-25
